url,state,city,years,manufacturer,model,price,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,vehicle_type,paint_color,image_url
https://losangeles.craigslist.org/ant/ctd/d/concord-2018-bmw-530e-iperformance-one/7234558983.html,ca,los angeles,2018,bmw,530e iperformance e-drive clean air vehicle w. stickers,37888,,4 cylinders,hybrid,24111,clean,automatic,WBAJA9C58JB250263,rwd,,sedan,silver,https://images.craigslist.org/00M0M_dpRwbVfL4t8_0cU09G_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/bellflower-2017-ford-mustang-ecoboost/7234558689.html,ca,los angeles,2017,ford,mustang ecoboost premium,23500,,4 cylinders,gas,26222,clean,manual,1FA6P8TH8H5323805,rwd,,coupe,,https://images.craigslist.org/01313_1tAVsttC6HN_0ag07K_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/norco-sale-super-clean-2006-chevrolet/7234557882.html,ca,los angeles,2006,chevrolet,silverado 1500,9900,excellent,8 cylinders,gas,140000,clean,automatic,,rwd,full-size,truck,grey,https://images.craigslist.org/01515_cjeTthf5pLZ_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/ctd/d/irvine-2013-bmw-328i-sedan-clean-title/7234557849.html,ca,los angeles,2013,bmw,328i,8497,good,4 cylinders,gas,146340,clean,automatic,,rwd,compact,sedan,black,https://images.craigslist.org/00c0c_3N75i6EmPvd_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/ant/cto/d/palmdale-2010-tundra-trd-limited-v8-2wd/7234557729.html,ca,los angeles,2010,toyota,tundra,17500,excellent,8 cylinders,gas,112000,clean,automatic,,rwd,full-size,pickup,white,https://images.craigslist.org/00X0X_4lGajXM7c21_0CI0lM_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/van-nuys-2004-ford-f250-government/7234557596.html,ca,los angeles,2004,ford,ranger,6999,,,gas,84000,clean,automatic,,,,,,https://images.craigslist.org/00b0b_ba1jhZxcwza_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/encino-1993-mercedes-benz-g230ge-swiss/7234557218.html,ca,los angeles,1993,mercedes-benz,benz g230,35500,excellent,4 cylinders,gas,,clean,automatic,,4wd,,,green,https://images.craigslist.org/00a0a_7EULYug7u6z_0t20CI_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/los-angeles-toyota-yaris-hatchback/7234557147.html,ca,los angeles,2008,toyota,yaris hatchback,3300,,,gas,,clean,manual,,,,,,https://images.craigslist.org/00f0f_d6XGO3zMM4Q_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/ctd/d/irvine-2013-toyota-prius-package-solar/7234556710.html,ca,los angeles,2013,toyota,prius,7697,good,4 cylinders,hybrid,147943,clean,automatic,,fwd,compact,hatchback,grey,https://images.craigslist.org/00R0R_2dmaoENvEqX_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/norco-sale-2008-scion-xb-family/7234556101.html,ca,los angeles,2008,,scion xb hatchback,4000,excellent,4 cylinders,gas,150000,clean,automatic,,fwd,mid-size,hatchback,black,https://images.craigslist.org/00F0F_6z16KGn5ubW_0CI0t2_600x450.jpg
