id,url,region,region_url,price,years,manufacturer,model,conditions,cylinders,fuel,odometer,title_status,transmission,VIN,drive,sizes,types,paint_color,image_url,county,state,latitude,longitude
7232529965,https://newyork.craigslist.org/lgi/ctd/d/franklin-square-2014-infiniti-q50-4dr/7232529965.html,"new york city",https://newyork.craigslist.org,0,2014,infiniti,q50,excellent,NULL,gas,75725,clean,automatic,JN1BV7AR0EM680596,NULL,NULL,sedan,silver,https://images.craigslist.org/00303_5YLNM8AhFC1_0cg09c_600x450.jpg,NULL,ny,40.707089,-73.669096
7232530353,https://losangeles.craigslist.org/lac/ctd/d/los-angeles-2016-tesla-model-75d-awd/7232530353.html,"los angeles",https://losangeles.craigslist.org,63990,2016,tesla,"model x 75d awd 7 seats","like new",NULL,gas,26000,clean,automatic,NULL,NULL,NULL,NULL,NULL,https://images.craigslist.org/00z0z_O9Z1DPLvGL_0bM07Q_600x450.jpg,NULL,ca,34.0434,-118.2716
7232530475,https://losangeles.craigslist.org/sfv/ctd/d/sun-valley-2015-toyota-tacoma-prerunner/7232530475.html,"los angeles",https://losangeles.craigslist.org,0,2015,toyota,tacoma,excellent,NULL,gas,NULL,clean,automatic,5TFTX4CN4FX068146,NULL,NULL,NULL,NULL,https://images.craigslist.org/00S0S_fBvdCVO9ql_0CI0pP_600x450.jpg,NULL,ca,34.220195,-118.367818
7232530507,https://newyork.craigslist.org/lgi/cto/d/east-rockaway-2007-jeep-grand-cherokee/7232530507.html,"new york city",https://newyork.craigslist.org,3500,2007,jeep,"grand cherokee",NULL,NULL,gas,NULL,clean,automatic,NULL,NULL,NULL,NULL,NULL,https://images.craigslist.org/01313_lFQTsd7hIg9_09G07g_600x450.jpg,NULL,ny,40.640769,-73.655618
7232530514,https://losangeles.craigslist.org/sgv/cto/d/palmdale-1972-chevrolet-cheyenne-cst-4/7232530514.html,"los angeles",https://losangeles.craigslist.org,19000,1972,chevrolet,"cheyenne cst",good,NULL,gas,48567,clean,automatic,NULL,4wd,full-size,truck,yellow,https://images.craigslist.org/00L0L_1iQ7ark8MF4_0CI0ni_600x450.jpg,NULL,ca,34.6017,-118.231
7232530572,https://losangeles.craigslist.org/ant/ctd/d/la-crescenta-2012-mini-cooper-hardtop/7232530572.html,"los angeles",https://losangeles.craigslist.org,7995,2012,mini,"cooper hardtop",NULL,NULL,gas,99825,clean,automatic,WMWSU3C51CT261627,NULL,sub-compact,hatchback,white,https://images.craigslist.org/00e0e_ewx7omkDccT_0cU09G_600x450.jpg,NULL,ca,34.232563,-118.252673
7232530804,https://newyork.craigslist.org/brk/ctd/d/brooklyn-2011-chevrolet-equinox-awd-4dr/7232530804.html,"new york city",https://newyork.craigslist.org,0,2011,chevrolet,equinox,excellent,NULL,gas,127260,clean,automatic,2CNFLCEC7B6356232,NULL,NULL,SUV,grey,https://images.craigslist.org/00s0s_c9CKTL8trRG_0cg09c_600x450.jpg,NULL,ny,40.65189,-73.889202
7232530881,https://losangeles.craigslist.org/sfv/ctd/d/sun-valley-2015-toyota-tacoma-prerunner/7232530881.html,"los angeles",https://losangeles.craigslist.org,0,2015,toyota,tacoma,excellent,NULL,gas,NULL,clean,automatic,5TFTX4CN4FX068146,NULL,NULL,NULL,NULL,https://images.craigslist.org/00S0S_fBvdCVO9ql_0CI0pP_600x450.jpg,NULL,ca,34.220195,-118.367818
7232531014,https://newyork.craigslist.org/brk/ctd/d/brooklyn-2015-bmw-640i-4dr-sdn-640i/7232531014.html,"new york city",https://newyork.craigslist.org,0,2015,bmw,640i,excellent,NULL,gas,84019,clean,automatic,WBA6B8C54FD453109,NULL,NULL,coupe,black,https://images.craigslist.org/00J0J_RE2UhjgClx_0cg09c_600x450.jpg,NULL,ny,40.65189,-73.889202
7232531172,https://newyork.craigslist.org/que/ctd/d/elmhurst-2018-nissan-rogue-awd-sv-wagon/7232531172.html,"new york city",https://newyork.craigslist.org,0,2018,nissan,rogue,excellent,NULL,gas,52157,clean,automatic,KNMAT2MV4JP573182,NULL,NULL,wagon,blue,https://images.craigslist.org/00q0q_cT3pIVzy1sX_0cg09c_600x450.jpg,NULL,ny,40.740159,-73.893587
