region,year,manufacturer,model,price,mileage,transmission
new york city,2009,toyota,highlander hybrid limited,10000,188800,automatic
new york city,2015,honda,fit,4600,93000,automatic
new york city,2011,gmc,acadia denali awd,10800,160830,automatic
new york city,2019,ford,f150 xl,23500,10136,automatic
los angeles,2003,honda,civic lx,3000,150000,automatic
los angeles,2006,honda,odyssey,4900,155912,automatic
los angeles,1998,ford,mustang gt,7900,128900,manual
los angeles,2018,toyota,corolla,10600,33700,automatic
los angeles,2012,toyota,prius v,6000,146400,automatic
los angeles,2013,tesla,model s p85+,32500,104000,automatic
los angeles,1998,toyota,tacoma,1800,313740,automatic
los angeles,2013,bmw,535i,17999,59900,automatic
los angeles,2007,bmw,328i,5900,133500,automatic
los angeles,1997,ford,f-150,4500,160000,automatic
new york city,2010,nissan,altima 2.5 s,5200,80000,automatic
los angeles,2013,nissan,altima,7000,106000,automatic
los angeles,2008,toyota,prius,6450,101700,automatic
new york city,2013,nissan,sentra sv,5200,40018,automatic
los angeles,2006,ford,f350,4800,151237,automatic
los angeles,2017,nissan,sentra,9995,45000,automatic
los angeles,2004,hyundai,santa fe,3300,152000,automatic
los angeles,2002,honda,accord,2800,136180,automatic
los angeles,1998,toyota,camry xle,3000,180000,automatic
los angeles,2014,jeep,patriot 4x4,6995,103600,automatic
los angeles,2000,mercedes-benz,benz e320,7999,102600,automatic
new york city,2013,cadillac,xts,8050,40000,automatic
los angeles,2003,honda,odyssey ex,4200,140000,automatic
los angeles,2014,chevrolet,spark,4495,107000,automatic
los angeles,1997,ford,f-250,16500,143000,automatic
los angeles,2014,nissan,versa note,4495,120000,automatic
new york city,2008,honda,odyssey exl,4450,141000,automatic
los angeles,2002,volkswagen,eurovan camper,52500,78234,automatic
los angeles,2008,honda,crv,6800,116000,automatic
los angeles,2011,ford,f550 bucket service truck,28000,233997,automatic
los angeles,2020,jeep,cherokee ltd,20995,8400,automatic
new york city,2009,honda,crv lx awd,6700,152000,automatic
los angeles,2007,toyota,corolla,4900,136000,automatic
los angeles,2012,honda,civic,10999,31300,automatic
new york city,2006,honda,accord,6200,120000,automatic
los angeles,2016,jeep,patriot,7250,108200,automatic
los angeles,2007,chevrolet,express 1500,6000,93845,automatic
los angeles,2018,dodge,grand caravan,29900,46000,automatic
new york city,2009,ford,explorer eddie bauer,3000,187000,automatic
new york city,2018,dodge,grand caravan,29900,46000,automatic
los angeles,2005,bmw,325ci convertible,4000,110000,automatic
los angeles,2013,nissan,sentra,7000,62630,automatic
los angeles,2008,ford,taurus,4000,130000,automatic
los angeles,2004,honda,accord,3950,132000,automatic
los angeles,2005,volvo,s60 2.5t,4200,117730,automatic
los angeles,2005,toyota,rav4,4400,184170,automatic
los angeles,2019,nissan,altima,13950,33000,automatic
los angeles,2015,chrysler,300,12500,78123,automatic
los angeles,2000,volkswagen,beetle,3000,220000,manual
los angeles,2016,nissan,rogue s,12500,56300,automatic
los angeles,2002,ford,ranger,4700,143800,automatic
los angeles,2011,honda,accord,7500,75993,automatic
los angeles,2004,toyota,tundra,6800,220000,automatic
los angeles,2011,volkswagen,golf,7500,128000,automatic
los angeles,2013,toyota,prius,4500,245000,automatic
los angeles,2002,chevrolet,trailblazer ltz,2900,148000,automatic
los angeles,2000,ford,e350 extended van,5999,312000,automatic
los angeles,1999,ford,e350 super duty,6000,274000,automatic
los angeles,2004,honda,accord,2600,165000,automatic
los angeles,2002,subaru,impreza wrx,13000,97500,manual
new york city,2010,ford,fusion,5500,90329,automatic
los angeles,2001,saturn,l200,2495,184000,automatic
los angeles,2006,honda,civic lx,5499,207731,automatic
los angeles,1963,ford,galaxie 2 dr 427 dual 4 bb,45500,0,manual
los angeles,1971,mercedes-benz,280sl roadster,115000,98357,automatic
los angeles,1962,ford,econoline 1/2 ton pick up,22500,0,manual
los angeles,2004,ford,excursion,24250,50000,automatic
los angeles,2005,bmw,330i zhp,8000,70,automatic
los angeles,1985,pontiac,fiero gt,5500,164000,automatic
los angeles,2016,dodge,grand caravan,17500,54000,automatic
los angeles,2018,bmw,750i,40000,42000,automatic
los angeles,2011,chevrolet,silverado 3500hd,36877,126078,automatic
los angeles,2017,ram,1500,28977,59717,automatic
los angeles,2011,toyota,prius,225,57932,automatic
los angeles,2006,mitsubishi,montero,8400,143000,other
los angeles,2018,toyota,camry,19000,25555,automatic
los angeles,2017,toyota,tacoma,30496,54644,automatic
los angeles,2017,toyota,camry,11600,80447,automatic
