state,city,year,manufacturer,model,price,mileage,cylinders,drive,fuel,transmission,url,image_url
ca,los angeles,2013,chevrolet,suburban ltz 1500,19995,110556,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/toluca-lake-2013-chevrolet-suburban/7234542408.html,https://images.craigslist.org/00707_8GWQTtUCDi3_0CI0lM_600x450.jpg
ca,los angeles,2006,nissan,titan se low miles,12995,111401,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/santa-clarita-2006-nissan-titan-se-low/7234542163.html,https://images.craigslist.org/00g0g_20yiGEmTRrj_0cU09G_600x450.jpg
ca,los angeles,2015,toyota,prius v two,5995,236441,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/santa-clarita-2015-toyota-prius-two/7234541971.html,https://images.craigslist.org/00F0F_bXYtXl4TxOI_0ak07K_600x450.jpg
ca,los angeles,2007,chevrolet,silverado 1500 lt1 low miles!!!,14995,81082,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/ctd/d/santa-clarita-low-miles-2007-chevy/7234541957.html,https://images.craigslist.org/00i0i_2MTsS4r4NEu_0cU09G_600x450.jpg
ca,los angeles,2020,porsche,cayenne s,63000,3122,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/dodgertown-2020-porsche-panamera/7234539939.html,https://images.craigslist.org/00Q0Q_BziXBitqyz_0gw0co_600x450.jpg
ca,los angeles,2011,honda,civic lx,6999,120000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/cto/d/laguna-niguel-2011-honda-civic-coupe-lx/7234537701.html,https://images.craigslist.org/00e0e_3hJdPAP1q9F_0CI0t2_600x450.jpg
ca,los angeles,2013,hyundai,sonata,7900,89000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lgb/cto/d/fullerton-2013-hyundai-sonata-limited/7234537092.html,https://images.craigslist.org/00707_ccjax7O1PMu_0fu0bC_600x450.jpg
ca,los angeles,1999,ford,f450 super duty,5500,252000,8 cylinders,rwd,diesel,automatic,https://losangeles.craigslist.org/ant/cto/d/long-beach-truck/7234536962.html,https://images.craigslist.org/00v0v_e94nvefyTV1_0Bp0CI_600x450.jpg
ca,los angeles,2013,subaru,brz,19000,63700,4 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/sfv/cto/d/sylmar-2013-subaru-brz-premium/7234536797.html,https://images.craigslist.org/00p0p_gYCViRIbKsa_0CI0lM_600x450.jpg
ca,los angeles,2018,hyundai,tucson sel,15800,35600,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2018-hyundai-tucson-sel-fwd/7234536138.html,https://images.craigslist.org/00H0H_7vgu74N7ZJA_0lq0t2_600x450.jpg
ca,los angeles,2012,mercedes-benz,benz e350,14250,98482,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/glendale-2012-mercedes-benz-e350/7234536120.html,https://images.craigslist.org/00M0M_69NkpBADydY_0t20CI_600x450.jpg
