,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo
14,2020,Toyota,['Corolla'],LE CVT,Murray,UT,"26,455","$13,997",Super White,Unknown,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
15,2019,Dodge,['Journey'],GT AWD,Boise,ID,"9,989","$16,899",Granite Pearlcoat,Black/Red,16,24,3.6L V-6 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Third Row Seating', 'Multi-Zone Climate Control', 'Parking Sensors', 'Moonroof', 'Navigation', 'Front Heated Seats', 'Remote Engine Start', 'Backup Camera', 'Bluetooth']","['2 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
16,2020,Chevrolet,['Malibu'],LT,College Park,MD,"39,969","$14,697",Summit White,Jet Black,29,36,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Bluetooth', 'Premium Seat Material', 'Remote Engine Start', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
17,2019,Dodge,['Journey'],GT AWD,College Park,MD,"36,588","$16,797",Vice White,Black/Red,16,24,3.6L V-6 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Third Row Seating', 'Multi-Zone Climate Control', 'Bluetooth', 'Premium Audio', 'Front Heated Seats', 'Remote Engine Start', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
18,2019,Dodge,['Journey'],GT AWD,Murray,UT,"34,203","$16,997",Pitch Black Clearcoat,Black/Red,16,24,3.6L V-6 Gas,Automatic,AWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Third Row Seating', 'Multi-Zone Climate Control', 'Bluetooth', 'Premium Audio', 'Front Heated Seats', 'Remote Engine Start', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
19,2020,Kia,['Optima'],LX Automatic,Victorville,CA,"26,377","$13,999",Sparkling Silver,Black,24,32,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Lane Keep Assist', 'Parking Sensors', 'Blind Spot System', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False
20,2020,Kia,['Optima'],LX Automatic,Victorville,CA,"29,221","$13,899",Snow White Pearl,Black,24,32,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Lane Keep Assist', 'Parking Sensors', 'Blind Spot System', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
21,2020,Chevrolet,['Malibu'],LT,San Antonio,TX,"31,156","$15,197",Mosaic Black Metallic,Jet Black,29,36,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Bluetooth', 'Premium Seat Material', 'Remote Engine Start', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
22,2015,Nissan,['Altima'],2.5 S,Wake Forest,NC,"132,823","$7,990",Silver,Gray,27,38,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],"['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '2']",False
23,2019,Nissan,['Sentra'],SV CVT,Warrenton,VA,"34,807","$11,968",Gun Metallic,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
