,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo,url,img
1,2018,Dodge,['Challenger'],SXT Plus RWD Automatic,Santa Monica,CA,"17,928","$23,700",Pitch Black Clearcoat,Black,19,30,3.6L V-6 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Parking Sensors', 'Premium Audio', 'Premium Seat Material', 'Front Cooled Seats', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/2C3CDZAG2JH132535/2018-dodge-challenger/,https://listings-prod.tcimg.net/listings/146121/35/25/2C3CDZAG2JH132535/33U7CMZQASHIA47H4D44XXCFJY-cr-360.jpg
2,2010,Ford,['Escape'],Limited FWD,Van Nuys,CA,"98,159","$6,988",Black,Charcoal Black,22,28,3.0L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Front Heated Seats', 'Premium Seat Material', 'Bluetooth']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '3']",False,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0EG1AKC45222/2010-ford-escape/,https://listings-prod.tcimg.net/listings/177436/22/52/1FMCU0EG1AKC45222/LQEWVFX7DOCCLHCFHPAIAGP3MA-cr-360.jpg
0,2018,Mercedes-Benz,['E-Class'],E 300 Sedan RWD,Inglewood,CA,"27,915","$32,995",Gray,Nut Brown/Black,22,30,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Navigation', 'Multi-Zone Climate Control', 'Bluetooth', 'Moonroof', 'Premium Seat Material', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/WDDZF4JB2JA378299/2018-mercedes-benz-e-class/,https://listings-prod.tcimg.net/listings/193133/99/82/WDDZF4JB2JA378299/FTJ5PVISDGEXDD4LY3IRUI5VDE-cr-360.jpg
1,2008,Dodge,"['Grand', 'Caravan']",SXT,North Hollywood,CA,"103,150","$4,600",Bright Silver Metallic,Black,16,23,3.8L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Third Row Seating']","['1 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1D8HN54P18B184424/2008-dodge-grand-caravan/,https://listings-prod.tcimg.net/listings/173031/24/44/1D8HN54P18B184424/PBMFB34UHVUMSA2KGYQXTYFXVQ-cr-360.jpg
2,2013,BMW,"['3', 'Series']",328i xDrive Sedan AWD,Los Angeles,CA,"74,759","$13,995",Alpine White,Saddle Brown,22,33,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Premium Seat Material', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '3']",False,https://www.truecar.com/used-cars-for-sale/listing/WBA3B3G57DNP38572/2013-bmw-3-series/,https://listings-prod.tcimg.net/listings/87910/72/85/WBA3B3G57DNP38572/ITQRULRFP6AT34GAXIHFR62G6U-cr-360.jpg
0,2017,BMW,"['3', 'Series']",330i Sedan RWD,Inglewood,CA,"50,446","$18,995",Mediterranean Blue Metallic,Black,23,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Premium Seat Material', 'Bluetooth']","['2 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/WBA8B9G33HNU53123/2017-bmw-3-series/,https://listings-prod.tcimg.net/listings/193133/23/31/WBA8B9G33HNU53123/773UC4TJASKSGWUABEQOYPX4Q4-cr-360.jpg
1,2017,Porsche,['Cayenne'],S E-Hybrid AWD,Los Angeles,CA,"15,914","$54,995",Black,Black,N,cty,3.0L V-6 Plug-In Hybrid Supercharged,Automatic,AWD,Plug-In Hybrid,"['Premium Wheels', 'Power Trunk/Liftgate', 'Navigation', 'Multi-Zone Climate Control', 'Bluetooth', 'Moonroof', 'Premium Audio', 'Premium Seat Material', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True,https://www.truecar.com/used-cars-for-sale/listing/WP1AE2A29HLA75399/2017-porsche-cayenne/,https://listings-prod.tcimg.net/listings/5004/99/53/WP1AE2A29HLA75399/X6KCQKIEUNXDXUU5PAGTHP6324-cr-360.jpg
2,2019,Toyota,['Sienna'],LE 8-Passenger FWD,Marina Del Rey,CA,"32,759","$22,988",Super White,Unknown,19,27,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Lane Keep Assist', 'Bluetooth', 'Third Row Seating', 'Adaptive Cruise Control', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/5TDKZ3DCXKS997223/2019-toyota-sienna/,https://listings-prod.tcimg.net/listings/30673/23/72/5TDKZ3DCXKS997223/ID2QRPJJB7U2HCYFBJZQGQJ2FQ-cr-360.jpg
0,2017,Ford,['Edge'],SEL AWD,Los Angeles,CA,"40,530","$18,980",Canyon Ridge Metallic,Ebony,20,27,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Premium Wheels', 'Navigation', 'Multi-Zone Climate Control', 'Backup Camera', 'Bluetooth', 'Premium Audio', 'Remote Engine Start', 'Blind Spot System', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/2FMPK4J96HBC21105/2017-ford-edge/?zipcode=90077,https://listings-prod.tcimg.net/listings/172632/05/11/2FMPK4J96HBC21105/EOLLOMXB5NBDUX5C2Q6DAJH22U-cr-360.jpg
1,2014,Ram,['1500'],"Express Quad Cab 6'4"" Box 2WD",Venice,CA,"28,609","$24,990",Bright White Clearcoat,Diesel Gray/Black,17,25,5.7L V-8 Gas,Automatic,RWD,Gas,"['Premium Wheels', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6FT8ES304732/2014-ram-1500/?zipcode=90291,https://listings-prod.tcimg.net/listings/175576/32/47/1C6RR6FT8ES304732/B2QQLEMOK3HAZF3THR454HUCSM-cr-360.jpg
2,1999,Jeep,['Wrangler'],Sahara,Los Angeles,CA,"139,447","$10,999",Medium Fern Green Pearl,Camel/Dark Green,16,19,4.0L Inline-6 Gas,Manual,4WD,Gas,['Premium Wheels'],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False,https://www.truecar.com/used-cars-for-sale/listing/1J4FY49S9XP435111/1999-jeep-wrangler/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/174146/11/51/1J4FY49S9XP435111/BTLPKX23EVL5G3REFTYELVS3VI-cr-360.jpg
0,2020,Toyota,['Corolla'],LE CVT,Marina Del Rey,CA,"26,803","$14,288",Black Sand Pearl,Unknown,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE2LP019708/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/08/97/5YFEPRAE2LP019708/3TL77CJWJAXIVFF7CH3WUSJGV4-cr-360.jpg
1,2020,Toyota,['Corolla'],LE CVT,Marina Del Rey,CA,"28,051","$14,222",Unknown,Unknown,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",True,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE8LP018434/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/34/84/5YFEPRAE8LP018434/DOKNEU4PPTN7POFD54S42MO3SI-cr-360.jpg
