,url,img,year,make,model,sub_model,city,state,mileage,price,transmission,drive_type,fuel_type
1,https://www.truecar.com/used-cars-for-sale/listing/JTHBE1BLXE5042224/2014-lexus-gs/,https://listings-prod.tcimg.net/listings/127974/24/22/JTHBE1BLXE5042224/GXL466GFBG3SAL2ZAO2V34ORZA-cr-360.jpg,2014,Lexus,['GS'],GS 350 RWD,Van Nuys,CA,"77,902","$17,995",Automatic,RWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/5TDKZ3DCXKS997223/2019-toyota-sienna/,https://listings-prod.tcimg.net/listings/30673/23/72/5TDKZ3DCXKS997223/ID2QRPJJB7U2HCYFBJZQGQJ2FQ-cr-360.jpg,2019,Toyota,['Sienna'],LE 8-Passenger FWD,Marina Del Rey,CA,"32,759","$22,988",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAEXLJ018763/2020-toyota-corolla/,https://static.tcimg.net/vehicles/primary/8fb7162e891fc9ff/2020-Toyota-Corolla-silver-full_color-driver_side_front_quarter.png?fill=solid&fit=fill&h=33.21360.jpg,2020,Toyota,['Corolla'],LE CVT,Marina Del Rey,CA,"32,570","$14,266",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC250651/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/51/06/1N4BL4BV7KC250651/TXKUKBM4EVEVXYZWQ5TUKUM3CQ-cr-360.jpg,2019,Nissan,['Altima'],S FWD,Van Nuys,CA,"37,819","$14,988",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK7GU136047/2016-toyota-camry/,https://listings-prod.tcimg.net/listings/30673/47/60/4T1BF1FK7GU136047/OQC7OCVAE22GQV4GZQP45LB5HM-cr-360.jpg,2016,Toyota,['Camry'],XLE I4 Automatic,Marina Del Rey,CA,"41,686","$14,688",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/5N1AT2MT1KC777554/2019-nissan-rogue/,https://listings-prod.tcimg.net/listings/213192/54/75/5N1AT2MT1KC777554/GYLRQXLFWE6DJTRPNGFHWXI7RI-cr-360.jpg,2019,Nissan,['Rogue'],SL FWD,Inglewood,CA,"39,280","$17,000",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/1FM5K8D88KGB26143/2019-ford-explorer/?zipcode=10035,https://listings-prod.tcimg.net/listings/172632/43/61/1FM5K8D88KGB26143/7HY3A6MRAAWVQGZOOB5ZNEMROQ-cr-360.jpg,2019,Ford,['Explorer'],XLT 4WD,New York,NY,"36,630","$24,980",Automatic,4WD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/JTHKD5BH5E2197397/2014-lexus-ct/?zipcode=11372,https://listings-prod.tcimg.net/listings/175576/97/73/JTHKD5BH5E2197397/5OBVNIPAOGL6XI4ALJIHOKAIRI-cr-360.jpg,2014,Lexus,['CT'],CT 200h,Jackson Heights,NY,"57,932","$15,990",Automatic,FWD,Hybrid
1,https://www.truecar.com/used-cars-for-sale/listing/2FMDK4JC2DBC63764/2013-ford-edge/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/15595/64/37/2FMDK4JC2DBC63764/AFIUKIF4LT3AMXG5H7ZDXVW3XQ-cr-360.jpg,2013,Ford,['Edge'],SEL AWD,Bronx,NY,"82,404","$13,400",Automatic,AWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEGXKT738653/2019-dodge-journey/,https://listings-prod.tcimg.net/listings/83522/53/86/3C4PDDEGXKT738653/4Z76GPIXY37IHARPTYA7546XV4-cr-360.jpg,2019,Dodge,['Journey'],GT AWD,Jersey City,NJ,"38,821","$17,097",Automatic,AWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/WD4PG2EE8K3565629/2019-mercedes-benz-metris-passenger-van/,https://listings-prod.tcimg.net/listings/171212/29/56/WD4PG2EE8K3565629/AN6OI3D4WRWL2FJRMUKOJVZIFM-cr-360.jpg,2019,Mercedes-Benz,"['Metris', 'Passenger', 'Van']","Standard Roof 126"" Wheelbase",Long Island City,NY,"6,417","$29,995",Automatic,RWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG2KT774594/2019-dodge-journey/,https://listings-prod.tcimg.net/listings/83522/94/45/3C4PDDEG2KT774594/7D66G7DRK2CUSKQOAIVNKVULZQ-cr-360.jpg,2019,Dodge,['Journey'],GT AWD,Jersey City,NJ,"31,628","$17,497",Automatic,AWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3KY255935/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/113179/35/59/3N1AB7AP3KY255935/6BDCLINVSSLA7JY3KUIK5QRJ3E-cr-360.jpg,2019,Nissan,['Sentra'],S CVT,Astoria,NY,"20,870","$10,999",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/ZARBAAB41GM182070/2016-alfa-romeo-4c/,https://listings-prod.tcimg.net/listings/21460/70/20/ZARBAAB41GM182070/5RXBR5NX5PQ7B6Y367MJWKEA6U-cr-360.jpg,2016,Alfa,"['Romeo', '4C']",Spider,New York,NY,"11,199","$53,995",Manual,RWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3KY327085/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/83522/85/70/3N1AB7AP3KY327085/PNHWV5BMYD2XV6LT32N3TJQ5OI-cr-360.jpg,2019,Nissan,['Sentra'],SV CVT,Jersey City,NJ,"34,105","$12,097",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/KNMAT2MV6HP531106/2017-nissan-rogue/,https://listings-prod.tcimg.net/listings/192071/06/11/KNMAT2MV6HP531106/XCPK7XWRTMQU6WLMHHQ2MRRYZA-cr-360.jpg,2017,Nissan,['Rogue'],SV AWD,Woodside,NY,"51,880","$12,399",Automatic,AWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP0DN473551/2013-nissan-altima/,https://listings-prod.tcimg.net/listings/113179/51/35/1N4AL3AP0DN473551/ZB2UPYI5CB7BVSQN7AGTZDDKTE-cr-360.jpg,2013,Nissan,['Altima'],2.5 S Sedan,Astoria,NY,"84,019","$6,499",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7APXKL625243/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/83522/43/52/3N1AB7APXKL625243/BTRDPLCATP5TH5NKBKNWZ75KMY-cr-360.jpg,2019,Nissan,['Sentra'],SV CVT,Jersey City,NJ,"38,580","$11,997",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F63DC013286/2013-acura-tsx/,https://listings-prod.tcimg.net/listings/22960/86/32/JH4CU2F63DC013286/3QHD7WFRA3NGCBW5YDPZ2JJRBE-cr-360.jpg,2013,Acura,['TSX'],Sedan I4 Automatic with Technology Package,Union City,NJ,"101,699","$9,995",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/1HGCR2F84DA060053/2013-honda-accord/,https://listings-prod.tcimg.net/listings/113179/53/00/1HGCR2F84DA060053/2U2AYSA6FB5GL4T4FKMB2GDN4I-cr-360.jpg,2013,Honda,['Accord'],EX-L Sedan I4 CVT,Astoria,NY,"107,950","$8,999",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP1FC475405/2015-nissan-altima/,https://listings-prod.tcimg.net/listings/47352/05/54/1N4AL3AP1FC475405/XDEELX2WL7N2FZ26X6SSAOCX6I-cr-360.jpg,2015,Nissan,['Altima'],2.5 S,Brooklyn,NY,"58,062","$9,995",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5HY234609/2017-nissan-sentra/,https://listings-prod.tcimg.net/listings/192071/09/46/3N1AB7AP5HY234609/2CXWJQ7USWCPMWUI7XL7CVE2QI-cr-360.jpg,2017,Nissan,['Sentra'],SV CVT,Woodside,NY,"28,154","$10,870",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAEXLP030133/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/83522/33/01/5YFEPRAEXLP030133/LISOFPH3NXKX4KU3XZE6A6BXC4-cr-360.jpg,2020,Toyota,['Corolla'],LE CVT,Jersey City,NJ,"33,463","$14,197",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/2C3CDXHG9KH678096/2019-dodge-charger/,https://listings-prod.tcimg.net/listings/143272/96/80/2C3CDXHG9KH678096/MZVKTJYRQFCCRNZ26KTZMOYFJY-cr-360.jpg,2019,Dodge,['Charger'],GT RWD,Elmhurst,NY,"40,192","$18,695",Automatic,RWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV0LL103475/2020-gmc-terrain/,https://listings-prod.tcimg.net/listings/83522/75/34/3GKALVEV0LL103475/4CP6ZJOSKCEK5CQUR5Q2ALYN2Q-cr-360.jpg,2020,GMC,['Terrain'],SLT AWD,Jersey City,NJ,"24,797","$22,897",Automatic,AWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/19XFC1F96HE203992/2017-honda-civic/,https://listings-prod.tcimg.net/listings/113179/92/39/19XFC1F96HE203992/M4ZGRNPKIKD6NM6JUL3JYNWVQI-cr-360.jpg,2017,Honda,['Civic'],Touring Sedan CVT,Astoria,NY,"103,176","$11,999",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP1FY244115/2015-nissan-sentra/,https://listings-prod.tcimg.net/listings/105145/15/41/3N1AB7AP1FY244115/RKSIHEJZGTBA26GOQ2CUHX6SKU-cr-360.jpg,2015,Nissan,['Sentra'],SV CVT,Brooklyn,NY,"115,115","$5,950",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FKXHU715275/2017-toyota-camry/,https://listings-prod.tcimg.net/listings/113179/75/52/4T1BF1FKXHU715275/YCHQXA3CB3WGS632CLYAYUCLBU-cr-360.jpg,2017,Toyota,['Camry'],SE I4 Automatic,Astoria,NY,"79,329","$10,999",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE9LP021634/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/83522/34/16/5YFEPRAE9LP021634/SL3SF6PC77DBV6XU2HWND6WWSE-cr-360.jpg,2020,Toyota,['Corolla'],LE CVT,Jersey City,NJ,"34,160","$14,197",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0H70HR230999/2017-ford-fusion/,https://listings-prod.tcimg.net/listings/113179/99/09/3FA6P0H70HR230999/Y6MGPN25A4X2VJX7YFHDLJKBRI-cr-360.jpg,2017,Ford,['Fusion'],SE FWD,Astoria,NY,"104,666","$8,499",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK5HU704037/2017-toyota-camry/,https://listings-prod.tcimg.net/listings/58521/37/40/4T1BF1FK5HU704037/TGEI2EDLWJ2KRTGXJX4XZZPFKQ-og-360.jpg,2017,Toyota,['Camry'],SE I4 Automatic,Long Island City,NY,"45,495","$12,888",Automatic,FWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV7LL102050/2020-gmc-terrain/,https://listings-prod.tcimg.net/listings/83522/50/20/3GKALVEV7LL102050/V2QMO3GWBFGA7UC6BNAUPMHJTM-cr-360.jpg,2020,GMC,['Terrain'],SLT AWD,Jersey City,NJ,"35,288","$21,697",Automatic,AWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0LU1KR180215/2019-ford-fusion/,https://listings-prod.tcimg.net/listings/143272/15/02/3FA6P0LU1KR180215/F6NFVYEILJFH2XXHIYB2QIDWDU-cr-360.jpg,2019,Ford,['Fusion'],Hybrid SE FWD,Elmhurst,NY,"40,519","$10,700",Automatic,FWD,Hybrid
0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP0JY266129/2018-nissan-sentra/,https://listings-prod.tcimg.net/listings/192071/29/61/3N1AB7AP0JY266129/HXH7COMSAM36BGLZCOHK5ON4WQ-cr-360.jpg,2018,Nissan,['Sentra'],SV CVT,Woodside,NY,"30,281","$10,870",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/WDDZF4KB4HA135389/2017-mercedes-benz-e-class/,https://listings-prod.tcimg.net/listings/171212/89/53/WDDZF4KB4HA135389/C6G3GBUMVZH5JMZ5ECNINHPFAI-cr-360.jpg,2017,Mercedes-Benz,['E-Class'],E 300 Luxury 4MATIC Sedan,Long Island City,NY,"53,898","$27,130",Automatic,AWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK7EU818195/2014-toyota-camry/,https://listings-prod.tcimg.net/listings/21504/95/81/4T1BF1FK7EU818195/LFJMTX3CGAF4U42XA47NK3XWLM-cr-360.jpg,2014,Toyota,['Camry'],2014 SE I4 Automatic,Teterboro,NJ,"253,504","$4,899",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/2T2BZMCA3HC112315/2017-lexus-rx/,https://listings-prod.tcimg.net/listings/5836/15/23/2T2BZMCA3HC112315/VJCTKNQGDNH6JSKP6XZU45ZKNY-cr-360.jpg,2017,Lexus,['RX'],RX 350 AWD,New York,NY,"27,539","$29,750",Automatic,AWD,Gas
0,https://www.truecar.com/used-cars-for-sale/listing/19XFC2F5XGE041544/2016-honda-civic/,https://listings-prod.tcimg.net/listings/189396/44/15/19XFC2F5XGE041544/ACRVIF6W7BNB56GJ3CUM3NUGPU-cr-360.jpg,2016,Honda,['Civic'],LX Sedan CVT,Brooklyn,NY,"50,295","$11,995",Automatic,FWD,Gas
1,https://www.truecar.com/used-cars-for-sale/listing/1GKFK16337J298807/2007-gmc-yukon/,https://listings-prod.tcimg.net/listings/58521/07/88/1GKFK16337J298807/4JTVOQHJVV4GKWCGIC5FKN2PTE-og-360.jpg,2007,GMC,['Yukon'],XL 1500 SLT 4WD,Long Island City,NY,"112,009","$12,888",Automatic,4WD,Gas
