state,year,manufacturer,model,price,mileage,transmission
CA,2014,Mercedes-Benz,EClass,18990,68580,Automatic
CA,2016,Lexus,RX,29000,27000,Automatic
CA,2013,Honda,Civic,9995,80888,Automatic
CA,2018,Mercedes-Benz,EClass,33658,20366,Automatic
CA,2003,Lexus,SC,8995,171300,Automatic
CA,2020,Dodge,Durango,29500,39,Automatic
CA,2012,BMW,5Series,16590,89418,Automatic
CA,2012,Toyota,Camry,11590,77868,Automatic
CA,2014,Toyota,Camry,10957,89936,Automatic
CA,2012,Jeep,Wrangler,18995,133333,Automatic
CA,2013,BMW,5Series,18990,73780,Automatic
CA,2017,Honda,Civic,16380,19891,Automatic
CA,2017,Honda,Odyssey,23474,33053,Automatic
CA,2019,Nissan,Sentra,13795,5537,Automatic
CA,2016,BMW,5Series,21599,31000,Automatic
CA,2013,Toyota,Corolla,10990,51286,Automatic
CA,2013,BMW,3Series,14990,71038,Automatic
CA,2017,Maserati,Ghibli,36991,29628,Automatic
CA,2016,Ford,Fiesta,6199,73412,Automatic
CA,2016,Nissan,Altima,13590,61983,Automatic
CA,2015,Toyota,Camry,12999,50518,Automatic
CA,2017,Lexus,RX,32990,23986,Automatic
CA,2015,Ford,Flex,12995,107015,Automatic
CA,2018,Ford,TransitPassengerWagon,24074,39156,Automatic
CA,2015,Nissan,Altima,10990,70833,Automatic
CA,2014,BMW,4Series,17995,51449,Automatic
CA,2019,Toyota,Camry,17590,38266,Automatic
CA,2019,Honda,Civic,19315,9084,Automatic
CA,2017,BMW,X3,26995,22446,Automatic
CA,2018,Hyundai,Elantra,12590,44896,Automatic
CA,2003,Buick,Rendezvous,2999,117000,Automatic
CA,2017,Nissan,Versa,6950,82941,Automatic
CA,2014,Ram,1500,19991,76602,Automatic
CA,2017,Ford,Mustang,16649,77840,Automatic
CA,2010,Chevrolet,Camaro,9988,119182,Automatic
CA,2014,BMW,3Series,13990,83999,Automatic
CA,2012,Ford,Fiesta,4995,67748,Manual
CA,2013,Mercedes-Benz,CClass,14990,79958,Automatic
CA,2010,Mercedes-Benz,GLK,9495,121446,Automatic
CA,2018,Audi,Q5,32992,14124,Automatic
CA,2013,Ford,Focus,5850,79156,Automatic
CA,2020,Honda,Civic,18000,4027,Automatic
CA,2017,Lexus,NX,26299,25475,Automatic
CA,2019,Ford,TransitPassengerWagon,25295,35855,Automatic
CA,2018,Chevrolet,Malibu,13990,39465,Automatic
CA,2020,Ford,Fusion,19995,3184,Automatic
CA,2012,Porsche,911,55999,30158,Automatic
CA,2013,BMW,5Series,16990,80039,Automatic
CA,2013,Toyota,Camry,12990,84050,Automatic
CA,2019,Porsche,Cayenne,65993,7312,Automatic
CA,2018,Ford,F150,31990,53146,Automatic
CA,2005,Audi,S4,8900,145000,Automatic
CA,2013,Honda,CRV,10499,110685,Automatic
CA,2014,Ford,SuperDutyF250,15990,92627,Automatic
CA,2018,BMW,X3,31876,29310,Automatic
CA,2013,Chevrolet,Malibu,11990,39638,Automatic
CA,2013,Audi,Q5,15967,75443,Automatic
CA,2018,Dodge,Challenger,24991,17928,Automatic
CA,2010,Toyota,Prius,7395,128406,Automatic
CA,2012,Nissan,Altima,7500,99390,Automatic
CA,2015,Kia,Optima,10299,68051,Automatic
CA,2018,Ram,ProMasterCityCargoVan,13990,98546,Automatic
CA,2014,Honda,Civic,11990,50698,Automatic
CA,2018,Porsche,Panamera,71494,12516,Automatic
CA,2013,Toyota,Corolla,8995,83000,Automatic
CA,2020,Subaru,Outback,29000,5165,Automatic
CA,2014,Toyota,RAV4,12999,119664,Automatic
CA,2010,BMW,M6,19995,102934,Automatic
CA,2018,Hyundai,Elantra,12694,29306,Automatic
CA,2018,BMW,6Series,42999,45273,Automatic
CA,2015,Lexus,IS,18990,77327,Automatic
CA,2013,Toyota,RAV4,14990,91837,Automatic
CA,2019,Ford,Mustang,23976,25935,Automatic
CA,2011,Acura,TL,13590,77022,Automatic
CA,2013,Mercedes-Benz,EClass,18590,76665,Automatic
CA,2020,GMC,Terrain,19500,13045,Automatic
CA,2016,Nissan,Versa,6850,38891,Manual
CA,2017,Mercedes-Benz,SClass,49895,34069,Automatic
CA,2015,Nissan,Altima,11590,71534,Automatic
CA,2018,Jeep,GrandCherokee,24999,61789,Automatic
CA,2014,Honda,Accord,13590,84096,Automatic
CA,2014,Chevrolet,Cruze,11990,52691,Automatic
CA,2017,Mercedes-Benz,CClass,20994,66760,Automatic
CA,2018,Toyota,Corolla,13265,42709,Automatic
CA,2019,Nissan,Sentra,13988,37415,Automatic
CA,2014,Toyota,Camry,12590,75521,Automatic
CA,2012,Honda,Civic,9990,91850,Automatic
CA,2013,Toyota,Camry,10990,98642,Automatic
CA,2011,Porsche,Panamera,28990,67518,Automatic
CA,2012,Toyota,Corolla,10590,81217,Automatic
CA,2019,Nissan,Sentra,14990,3130,Automatic
CA,2013,Lexus,ES,18990,35556,Automatic
CA,2018,Mercedes-Benz,GLA,23995,16865,Automatic
CA,2014,Toyota,Prius,11995,85017,Automatic
CA,2005,Lexus,ES,5995,123501,Automatic
CA,2012,Toyota,Prius,13990,77845,Automatic
CA,2013,INFINITI,G,12899,60000,Automatic
CA,2010,Toyota,Prius,10990,77069,Automatic
CA,2014,Mercedes-Benz,EClass,19990,84011,Automatic
CA,2013,Lexus,LS,23990,104573,Automatic
CA,2012,Honda,Accord,10990,91565,Automatic
CA,2014,Toyota,Camry,11590,80376,Automatic
CA,2018,Cadillac,ATS,20975,34417,Automatic
CA,2015,Honda,Civic,12495,54995,Automatic
CA,2015,Toyota,Camry,16988,46574,Automatic
CA,2009,Acura,TL,10150,86770,Automatic
CA,2011,Audi,A4,8500,105861,Automatic
CA,2018,Audi,Q3,27393,15360,Automatic
CA,2019,Toyota,Tacoma,30590,1927,Automatic
CA,2017,Subaru,Forester,22118,11462,Automatic
CA,1997,Jaguar,XK8,9995,63000,Automatic
CA,2015,Hyundai,Elantra,8200,69912,Automatic
CA,2018,Honda,Civic,15443,29701,Automatic
CA,2017,Mercedes-Benz,CClass,24197,37498,Automatic
CA,2017,BMW,7Series,36999,51935,Automatic
CA,2014,Chevrolet,Cruze,10990,70728,Automatic
CA,2017,Nissan,Maxima,20590,15240,Automatic
CA,2013,Toyota,Avalon,15990,59254,Automatic
CA,2015,Toyota,Corolla,12990,45658,Automatic
CA,2015,BMW,3Series,12999,99881,Manual
CA,2018,Kia,Optima,12990,39515,Automatic
CA,2019,Toyota,Tacoma,28990,31945,Automatic
CA,2017,Hyundai,Sonata,13990,22105,Automatic
CA,2017,Toyota,Tacoma,35990,18093,Automatic
CA,2017,Kia,Forte,9990,61876,Automatic
CA,2017,Ford,Fusion,12990,27194,Automatic
CA,2012,Honda,Civic,7069,138000,Automatic
CA,2017,Mercedes-Benz,CClass,28497,21392,Automatic
CA,2018,Porsche,Macan,49992,34076,Automatic
CA,2019,Volvo,XC40,33041,25364,Automatic
CA,2019,Nissan,Pathfinder,22980,30687,Automatic
CA,2019,INFINITI,Q50,25990,22825,Automatic
CA,2017,Lexus,RX,30480,42033,Automatic
CA,2013,Nissan,Altima,14590,6244,Automatic
CA,2014,Audi,S8,33990,69956,Automatic
CA,2008,Toyota,4Runner,11995,159077,Automatic
CA,2015,Honda,CRV,16300,45998,Automatic
CA,2013,Lexus,LS,24990,77088,Automatic
CA,2009,INFINITI,M,12990,50636,Automatic
CA,2018,Mercedes-Benz,CClass,25920,32774,Automatic
CA,2019,Mercedes-Benz,GLA,23461,40019,Automatic
CA,2020,Toyota,4Runner,34990,25298,Automatic
CA,2012,Toyota,Prius,12990,103182,Automatic
CA,2015,Nissan,Sentra,10480,11813,Automatic
CA,2013,Toyota,Prius,13990,50311,Automatic
CA,2018,Audi,A3,22392,22420,Automatic
CA,2018,Genesis,G80,26990,14950,Automatic
CA,2015,Audi,A3,15990,50626,Automatic
CA,2012,Mercedes-Benz,SClass,25990,65929,Automatic
CA,2019,Hyundai,Elantra,11999,35059,Automatic
CA,2013,Land,RoverRangeRover,42990,21497,Automatic
CA,2014,Toyota,Prius,14990,47027,Automatic
CA,2014,Toyota,Prius,13990,73766,Automatic
CA,2013,Toyota,Priusv,9499,123335,Automatic
CA,2018,Honda,Accord,16797,55041,Automatic
CA,2018,Nissan,Rogue,12399,76609,Automatic
CA,2016,Mercedes-Benz,CClass,22026,39539,Automatic
CA,2018,Toyota,Camry,18788,21915,Automatic
CA,2012,Mitsubishi,iMiEV,9590,6504,Automatic
CA,2018,Mercedes-Benz,CLA,24225,24009,Automatic
CA,2014,Lexus,ES,14493,101854,Automatic
CA,2018,Audi,Q5,35892,12107,Automatic
CA,2019,Cadillac,XT5,29694,36120,Automatic
CA,2011,Mercedes-Benz,EClass,16590,73001,Automatic
CA,2017,Toyota,Prius,11995,128145,Automatic
CA,2017,Mercedes-Benz,GLE,30275,36508,Automatic
CA,2017,Mercedes-Benz,SClass,51999,49792,Automatic
CA,2013,Lexus,CT,14990,54655,Automatic
CA,2016,Cadillac,Escalade,48995,31938,Automatic
CA,2016,BMW,X3,14988,93003,Automatic
CA,2018,MINI,Hardtop,18499,24600,Automatic
CA,2017,Audi,A3,18893,35014,Automatic
CA,2014,Lexus,RX,17990,100135,Automatic
CA,2012,Mercedes-Benz,SLK,20990,54804,Automatic
CA,2018,Porsche,Cayenne,47494,30656,Automatic
CA,2015,BMW,7Series,30990,42999,Automatic
CA,2012,Chevrolet,Equinox,13990,61280,Automatic
CA,2017,Mercedes-Benz,SClass,49995,36135,Automatic
CA,2012,Porsche,Panamera,57990,21603,Automatic
CA,2020,Toyota,Camry,18997,19397,Automatic
CA,2017,Kia,Forte,8600,50916,Manual
CA,2013,Toyota,Camry,12590,59689,Automatic
