state,year,manufacturer,model,price,mileage,transmission,url,img
CA,2018,Ford,Focus,9894,31659,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1FADP3F24JL295939/2018-ford-focus/,https://listings-prod.tcimg.net/listings/182547/39/59/1FADP3F24JL295939/AZAHBBWLXBUP7BCTPVEQW4J424-cr-360.jpg
CA,2019,Nissan,Altima,14988,35770,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV6KC247899/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/99/78/1N4BL4BV6KC247899/RE4REHMSSFT25XGYDZ3DETTMJQ-cr-360.jpg
CA,2014,Ram,1500,18991,76602,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6GT5ES408433/2014-ram-1500/,https://listings-prod.tcimg.net/listings/182547/33/84/1C6RR6GT5ES408433/OVAZ2Z5NR7K25CQIVX5A4W5A74-cr-360.jpg
CA,2012,Jeep,Wrangler,17495,133333,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1C4BJWDG0CL178820/2012-jeep-wrangler/,https://listings-prod.tcimg.net/listings/87910/20/88/1C4BJWDG0CL178820/A2ANIV5MB5AP5XU6LFEMU362RM-cr-360.jpg
CA,2019,Nissan,Altima,14988,37438,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV5KC202968/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/68/29/1N4BL4BV5KC202968/WH6B3NKNN3TNXPNELFRTGZDB6U-cr-360.jpg
CA,2019,Nissan,Altima,14988,36760,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV4KC153018/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/18/30/1N4BL4BV4KC153018/74Z7NXK3TBM25ENKKI6Q46WISI-cr-360.jpg
CA,2008,MINI,Cooper,7900,40000,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WMWRH33568TU81291/2008-mini-cooper/,https://listings-prod.tcimg.net/listings/176989/91/12/WMWRH33568TU81291/5M2QHJU54VGVU5H4I7FWIXOVLQ-cr-360.jpg
CA,2019,Nissan,Altima,14988,36006,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC219996/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/96/99/1N4BL4BV7KC219996/7LMTWINTD6CYQA7MJI6COPOTRI-cr-360.jpg
CA,2014,Toyota,Corolla,7999,103625,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE6EP142951/2014-toyota-corolla/,https://listings-prod.tcimg.net/listings/87910/51/29/5YFBURHE6EP142951/WHC6TO4HVV63RZYAWF3HR3S4EY-cr-360.jpg
CA,2017,Hyundai,Tucson,15000,54467,Automatic,https://www.truecar.com/used-cars-for-sale/listing/KM8J33A21HU551471/2017-hyundai-tucson/,https://listings-prod.tcimg.net/listings/213192/71/14/KM8J33A21HU551471/4HM4G2XYNUGFVOYT5PP2NVNCA4-cr-360.jpg
CA,2019,Nissan,Altima,14988,35986,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC124824/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/24/48/1N4BL4BV7KC124824/MANG4CFLQFESH2DY73WY3XY6BE-cr-360.jpg
CA,2011,MINI,Hardtop,6995,77111,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WMWSU3C56BTX96354/2011-mini-hardtop/,https://listings-prod.tcimg.net/listings/26293/54/63/WMWSU3C56BTX96354/6VYFSOFBGJBQEHJXJPMFIUYN4U-cr-360.jpg
CA,2018,Toyota,RAV4,18988,19557,Automatic,https://www.truecar.com/used-cars-for-sale/listing/2T3ZFREV3JW432111/2018-toyota-rav4/,https://listings-prod.tcimg.net/listings/30673/11/21/2T3ZFREV3JW432111/2SL23YPZ4XQ5KNYNXLHOP7NR4Q-cr-360.jpg
CA,2018,Toyota,Camry,17988,39801,Automatic,https://www.truecar.com/used-cars-for-sale/listing/JTNB11HK9J3050411/2018-toyota-camry/,https://listings-prod.tcimg.net/listings/146965/11/04/JTNB11HK9J3050411/UOT62MUEPEG2JYX6YREBMPKZGI-cr-360.jpg
CA,2019,Nissan,Sentra,13000,31054,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7APXKY352937/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/4441/37/29/3N1AB7APXKY352937/4Q4TTSCVDVYETERSGGYVDXSG5E-cr-360.jpg
CA,2019,Nissan,Altima,14988,37819,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC250651/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/51/06/1N4BL4BV7KC250651/TXKUKBM4EVEVXYZWQ5TUKUM3CQ-cr-360.jpg
CA,2015,BMW,3Series,13995,100151,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WBA3A9G52FNS66404/2015-bmw-3-series/,https://listings-prod.tcimg.net/listings/119508/04/64/WBA3A9G52FNS66404/NAIG2H455FKTZFQL2SQEDB2MLM-cr-360.jpg
CA,2018,Dodge,Challenger,23700,17928,Automatic,https://www.truecar.com/used-cars-for-sale/listing/2C3CDZAG2JH132535/2018-dodge-challenger/,https://listings-prod.tcimg.net/listings/146121/35/25/2C3CDZAG2JH132535/33U7CMZQASHIA47H4D44XXCFJY-cr-360.jpg
CA,2010,Ford,Escape,6988,98159,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0EG1AKC45222/2010-ford-escape/,https://listings-prod.tcimg.net/listings/177436/22/52/1FMCU0EG1AKC45222/LQEWVFX7DOCCLHCFHPAIAGP3MA-cr-360.jpg
CA,2018,Mercedes-Benz,EClass,32995,27915,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WDDZF4JB2JA378299/2018-mercedes-benz-e-class/,https://listings-prod.tcimg.net/listings/193133/99/82/WDDZF4JB2JA378299/FTJ5PVISDGEXDD4LY3IRUI5VDE-cr-360.jpg
CA,2008,Dodge,GrandCaravan,4600,103150,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1D8HN54P18B184424/2008-dodge-grand-caravan/,https://listings-prod.tcimg.net/listings/173031/24/44/1D8HN54P18B184424/PBMFB34UHVUMSA2KGYQXTYFXVQ-cr-360.jpg
CA,2013,BMW,3Series,13995,74759,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WBA3B3G57DNP38572/2013-bmw-3-series/,https://listings-prod.tcimg.net/listings/87910/72/85/WBA3B3G57DNP38572/ITQRULRFP6AT34GAXIHFR62G6U-cr-360.jpg
CA,2017,BMW,3Series,18995,50446,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WBA8B9G33HNU53123/2017-bmw-3-series/,https://listings-prod.tcimg.net/listings/193133/23/31/WBA8B9G33HNU53123/773UC4TJASKSGWUABEQOYPX4Q4-cr-360.jpg
CA,2017,Porsche,Cayenne,54995,15914,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WP1AE2A29HLA75399/2017-porsche-cayenne/,https://listings-prod.tcimg.net/listings/5004/99/53/WP1AE2A29HLA75399/X6KCQKIEUNXDXUU5PAGTHP6324-cr-360.jpg
CA,2019,Toyota,Sienna,22988,32759,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5TDKZ3DCXKS997223/2019-toyota-sienna/,https://listings-prod.tcimg.net/listings/30673/23/72/5TDKZ3DCXKS997223/ID2QRPJJB7U2HCYFBJZQGQJ2FQ-cr-360.jpg
