state,year,manufacturer,model,price,mileage,drive_type,transmission,fuel,url,img
CA,2020,Toyota,Corolla,14266,32570,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAEXLJ018763/2020-toyota-corolla/,https://static.tcimg.net/vehicles/primary/8fb7162e891fc9ff/2020-Toyota-Corolla-silver-full_color-driver_side_front_quarter.png?fill=solid&fit=fill&h=33.21360.jpg
CA,2019,Nissan,Altima,14988,37819,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7KC250651/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/146965/51/06/1N4BL4BV7KC250651/TXKUKBM4EVEVXYZWQ5TUKUM3CQ-cr-360.jpg
CA,2016,Toyota,Camry,14688,41686,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK7GU136047/2016-toyota-camry/,https://listings-prod.tcimg.net/listings/30673/47/60/4T1BF1FK7GU136047/OQC7OCVAE22GQV4GZQP45LB5HM-cr-360.jpg
NY,2019,Kia,Forte,14480,11676,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3KPF24AD4KE057020/2019-kia-forte/?zipcode=10035,https://listings-prod.tcimg.net/listings/172632/20/70/3KPF24AD4KE057020/LRLCMWW5IKZ7VBDBFU3MQLACWY-cr-360.jpg
NY,2012,Honda,Accord,11990,71679,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1HGCP2F65CA080539/2012-honda-accord/?zipcode=11372,https://listings-prod.tcimg.net/listings/175576/39/05/1HGCP2F65CA080539/MZZ4TQYAU6WPQLSXSUO5L23GBQ-cr-360.jpg
NY,2017,Toyota,Highlander,29999,10222,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5TDJZRFH3HS463125/2017-toyota-highlander/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/21648/25/31/5TDJZRFH3HS463125/ART4EOII6M6XHCJZLHDN646X74-cr-360.jpg
NJ,2019,Dodge,Journey,17097,38821,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEGXKT738653/2019-dodge-journey/,https://listings-prod.tcimg.net/listings/83522/53/86/3C4PDDEGXKT738653/4Z76GPIXY37IHARPTYA7546XV4-cr-360.jpg
NY,2019,Mercedes-Benz,MetrisPassengerVan,29995,6417,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WD4PG2EE8K3565629/2019-mercedes-benz-metris-passenger-van/,https://listings-prod.tcimg.net/listings/171212/29/56/WD4PG2EE8K3565629/AN6OI3D4WRWL2FJRMUKOJVZIFM-cr-360.jpg
NJ,2019,Dodge,Journey,17497,31628,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG2KT774594/2019-dodge-journey/,https://listings-prod.tcimg.net/listings/83522/94/45/3C4PDDEG2KT774594/7D66G7DRK2CUSKQOAIVNKVULZQ-cr-360.jpg
NY,2019,Nissan,Sentra,10999,20870,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3KY255935/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/113179/35/59/3N1AB7AP3KY255935/6BDCLINVSSLA7JY3KUIK5QRJ3E-cr-360.jpg
NY,2016,Alfa,Romeo4C,53995,11199,RWD,Manual,Gas,https://www.truecar.com/used-cars-for-sale/listing/ZARBAAB41GM182070/2016-alfa-romeo-4c/,https://listings-prod.tcimg.net/listings/21460/70/20/ZARBAAB41GM182070/5RXBR5NX5PQ7B6Y367MJWKEA6U-cr-360.jpg
NJ,2019,Nissan,Sentra,12097,34105,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3KY327085/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/83522/85/70/3N1AB7AP3KY327085/PNHWV5BMYD2XV6LT32N3TJQ5OI-cr-360.jpg
NY,2017,Nissan,Rogue,12399,51880,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/KNMAT2MV6HP531106/2017-nissan-rogue/,https://listings-prod.tcimg.net/listings/192071/06/11/KNMAT2MV6HP531106/XCPK7XWRTMQU6WLMHHQ2MRRYZA-cr-360.jpg
